Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
commission short classic,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,1017,"$21,521.00",commission shorts classic
wunder train racerback tank top,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,1532,"$19,297.20",
license to train lined,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,993,"$13,139.58",
swiftly tech 20,N,collections/sku_size,,2047,"$42,312.00",
white swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,1145,"$5,088.10",
rulu run,Y,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,2111,"$43,925.80",
align leggings 28,Y,product_inseam/collections/sku_size/parentCategory_displayName,PatternReplaceFilter,1431,"$28,138.45",
wind breaker,N,sku_colorCodeDesc/collections,,1004,"$9,300.80",
down jackets,N,product_customAttribute4/parentCategory_displayName,,720,"$7,241.65",
fast and free crop,N,product_topsLength_s/collections/product_customAttribute4,PorterStemFilter,1002,"$16,863.60",fast and free cropped
5 shorts,Y,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,1558,"$13,901.30","5"" short"
leggings 25,Y,product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,781,"$10,029.55",tights 25
blue shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1052,"$4,480.50",
commission long sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,1181,"$28,053.65",
ready to rulu cropped,N,product_topsLength_s/sku_colorCodeDesc/collections,,854,"$6,480.60",
leggings 28,Y,product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,849,"$8,173.65",
chambray leggings,N,sku_colorCodeDesc/parentCategory_displayName,,554,"$3,254.95",
belt b,N,sku_size/product_customAttribute4,,1246,"$6,326.25",
cargo short,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1016,"$8,152.15",
align pant 25,Y,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,1619,"$33,585.25",align pants 25
sun shirt,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,867,"$4,084.50",sun shirts
belt bay,N,sku_colorCodeDesc/product_customAttribute4,,890,"$3,691.15",
align bike,N,collections/product_activity,,848,"$2,189.15",
align 31,Y,collections/sku_size/product_inseam,PatternReplaceFilter,1140,"$19,139.85",
swift tech short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,804,"$7,755.05",
kelly green tank,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,605,"$4,299.55",kelly green tank tops
hike to swim,N,collections/parentCategory_displayName/product_activity,PorterStemFilter,833,"$4,940.65",
scuba oversized half zip,N,collections/product_customAttribute4,,2219,"$90,681.80",
pace breaker lined short,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,1600,"$48,717.60",pace breaker lined shorts
pace breaker 9,Y,sku_colorCodeDesc/collections/sku_size/product_inseam,PatternReplaceFilter,916,"$13,488.40",
run swiftly,Y,collections/product_customAttribute4/product_activity,PorterStemFilter,1022,"$13,327.40",
invigorate tank,N,collections/parentCategory_displayName,,673,"$2,101.80",
button up,N,collections/product_customAttribute4/parentCategory_displayName,,790,"$5,460.35",
diamond dye silver blue tidewater teal graphite grey,N,sku_colorGroup/sku_colorCodeDesc,,44,$0.00,
long sleeve polo,N,product_topsLength_s/parentCategory_displayName,,1103,"$19,679.15",
lululemon define jacket,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,922,"$8,648.55",
java scuba,N,sku_colorCodeDesc/collections,,850,"$6,107.30",
we made to much define jacket,N,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,32,$0.00,
lululemon align tank top,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,1305,"$23,198.15",
tech shirt,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,818,"$6,630.85",
fast and,N,collections/product_customAttribute4,,1001,"$8,883.90",
train to be shirt,N,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,900,"$6,726.95",train to be top/train to be shirts
wunder contour,N,sku_colorCodeDesc/collections,,676,"$6,567.65",
