Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue,Rolled Up Queries
heather lux multi black shorts,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,PorterStemFilter,14,$0.00,
hot pink define,N,sku_colorGroup/sku_colorCodeDesc/collections,,20,$118.00,
jackets and hoodies,N,product_customAttribute4/parentCategory_displayName,,19,$600.00,
kelly green joggers,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,18,$236.00,
kohlrabi green shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$145.00,
leggings dark blue,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,16,$0.00,
light rain jacket,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,19,$0.00,
logo training tank,N,parentCategory_displayName/sku_colorCodeDesc/product_customAttribute4/product_activity,,20,$138.00,
long sleeve align shirt,Y,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$34.00,
long sleeve tank,N,product_topsLength_s/parentCategory_displayName,,18,$348.00,
long yoga pants,N,product_topsLength_s/product_activity/product_customAttribute4/parentCategory_displayName,,27,$364.00,
lulu align long sleeve,N,product_topsLength_s/sku_colorCodeDesc/collections/parentCategory_displayName,,23,$337.00,
lulu strap belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12,$0.00,
lululemon align crop 23,N,product_inseam/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/PatternReplaceFilter,27,$262.00,
lululemon align long,N,product_topsLength_s/sku_colorCodeDesc/collections/parentCategory_displayName,,26,$284.95,
men yoga shirt,Y,parentCategory_displayName/product_activity/product_customAttribute4/gender,EnglishMinimalStemFilter,10,$210.00,
orange sport bra,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,15,$108.00,
pants we made too much,N,product_customAttribute4/parentCategory_displayName,,17,$0.00,
running le,N,sku_colorCodeDesc/product_customAttribute4/product_activity,,34,$0.00,
pink water b,N,sku_colorGroup/sku_colorCodeDesc/sku_size/parentCategory_displayName,,26,$92.00,
tan shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,32,$98.80,
lulu hotty,N,sku_colorCodeDesc/collections,,28,$136.00,
running short sleeve shirt,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,10,$0.00,
forest shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$320.00,
shirt tight,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$136.00,
size 4 black leggings,N,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,27,$569.00,
skirt size 16,N,sku_size/product_inseam/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PatternReplaceFilter,13,$0.00,
cross belt,N,sku_colorCodeDesc/product_customAttribute4,,23,$76.00,
swiftly shorts,N,collections/product_customAttribute4/parentCategory_displayName,,23,$0.00,
cyan b,N,sku_colorCodeDesc/sku_size,,22,$104.00,
solar orange shirt,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,15,$64.00,
lined dress,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,22,$0.00,
sport bra d,Y,sku_colorCodeDesc/sku_size/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,11,$0.00,
scuba leggings,N,collections/parentCategory_displayName,,22,$247.00,
short dress,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/EnglishMinimalStemFilter/PorterStemFilter,22,$0.00,
swift 28,Y,collections/sku_size/product_inseam,PatternReplaceFilter,22,$342.75,
nano city,N,sku_colorCodeDesc/collections,,21,$0.00,
swift long sleeve shirt,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$167.00,
work shirt,Y,parentCategory_displayName/product_customAttribute4/product_activity,EnglishMinimalStemFilter,21,$272.00,
swift speed high rose tight,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup_fr,EnglishMinimalStemFilter,3,$0.00,
"19"" leggings",N,product_inseam/parentCategory_displayName,,20,$0.00,
swiftly size 2,N,collections/sku_size/product_inseam,PatternReplaceFilter,18,$0.00,
swiftly tech 20 short sleeve,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter,18,$428.00,
swiftly tech size 6,N,collections/sku_size/product_inseam,PatternReplaceFilter,8,$136.00,
swimsuit one piece,Y,sku_size/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,14,$89.00,
surge 8,N,collections/sku_size/product_inseam,PatternReplaceFilter,20,$59.00,
bright blue leggings,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,77,$370.15,bright blue leggings
to much made,N,collections/parentCategory_displayName,,2,$0.00,
train to be s,N,sku_size/collections/product_customAttribute4/product_activity,PorterStemFilter,23,$0.00,
green leg,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,17,$0.00,
high speed,N,collections/product_customAttribute4,,17,$206.00,
lululemon ebb to street tank top,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,11,$180.00,
white shorts size 2,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,16,$68.00,
wild indigo scuba,N,sku_colorCodeDesc/collections,,18,$0.00,
wild sports bra,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,21,$48.00,
java pocket,N,sku_colorCodeDesc/product_customAttribute4,,14,$0.00,
women shorts leggings,N,product_customAttribute4/parentCategory_displayName/gender,,5,$0.00,
women size 20,N,sku_size/parentCategory_displayName/gender,,11,$351.00,
wild leg,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,14,$0.00,
kelly tank,N,sku_colorCodeDesc/parentCategory_displayName,,13,$224.00,
pocket capris,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,13,$591.00,
pants luxtreme,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,12,$58.65,
psychic pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,11,$69.00,
wunder 25 pocket,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/sku_size,PatternReplaceFilter,15,$128.00,
25 black leggings,Y,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,17,$401.65,
4 in align shorts,N,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,19,$48.00,
8 in short,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,12,$93.00,
"align 8"" short",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,16,$39.00,
align bike shorts 4,N,product_inseam/product_customAttribute4/product_activity/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,15,$64.00,
ebb to street cropped racerback tank,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,,104,"$1,921.45",
align leggings size 4,N,product_inseam/collections/sku_size/parentCategory_displayName,PatternReplaceFilter,26,$667.00,
align mulled wine,N,sku_colorCodeDesc/collections,,18,$226.00,
army green belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,19,$0.00,
belt bag grey sage,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,32,$710.70,
black align dress,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter/PorterStemFilter,26,$259.00,
black long leggings,N,sku_colorGroup/product_topsLength_s/sku_colorCodeDesc/parentCategory_displayName,,15,$294.00,
black mini belt bag,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_colorGroup,EnglishMinimalStemFilter,18,$366.00,
blue marble dye,N,sku_colorGroup/sku_colorCodeDesc,,22,$0.00,
blue shirt men,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,15,$0.00,
bone sport bra,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,30,$237.00,
carnation red tops,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,15,$0.00,
commission long sleeve wash,N,product_topsLength_s/sku_colorCodeDesc/collections/parentCategory_displayName,PorterStemFilter,19,$324.50,
coral swiftly tech,N,sku_colorCodeDesc/collections,,20,$45.90,
dance studio cropped jogger,N,product_topsLength_s/collections/parentCategory_displayName/product_activity,EnglishMinimalStemFilter,27,$506.00,
diamond dye cassis black,N,sku_colorGroup/sku_colorCodeDesc,,17,$0.00,
energy bra java,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,21,$140.00,
energy bra lip gloss,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$44.00,
espresso all yours,N,sku_colorCodeDesc/collections,,15,$190.00,
fast and free lip gloss,N,sku_colorCodeDesc/collections/product_customAttribute4,,18,$78.00,
green short sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_colorGroup,EnglishMinimalStemFilter,12,$68.00,
grey sweat pants,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,,18,$0.00,
half zip oversized scuba,N,collections/product_customAttribute4,,36,$660.80,
heather grey hotty,Y,sku_colorGroup/sku_colorCodeDesc/collections,PorterStemFilter,22,$0.00,
hot yoga leggings,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName,,13,$186.00,
hotty hot electric lemon,N,sku_colorCodeDesc/collections,,16,$88.00,
hotty hot lilac smoke,N,sku_colorCodeDesc/collections,PorterStemFilter,15,$39.00,
kelly green wind,N,sku_colorGroup/sku_colorCodeDesc,,12,$0.00,
leggings size 16,N,product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,20,$667.00,
lined shorts sonic pink,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,1,$0.00,
logo sport polo shirt sleeve,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$300.80,
long sleeve love crew,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,,22,$324.00,
loungeful crewneck pullover,N,collections/product_customAttribute4,,20,$0.00,
lulu align bodysuit black,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,12,$148.00,
lulu lemon tank top,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$142.00,
lululemon fundamental pocket,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,21,$363.15,
lululemon tight shorts,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,7,$0.00,
made too much hotty hot,N,sku_colorCodeDesc/collections/parentCategory_displayName,,18,$49.00,
magenta purple speed up,N,sku_colorGroup/sku_colorCodeDesc/collections/product_customAttribute4,,14,$0.00,
tech cropped,N,product_topsLength_s/collections,,50,"$1,099.90",
men shorts 5 in,Y,product_inseam/product_customAttribute4/gender/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,19,$0.00,
navy shirt women,Y,product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,17,$146.00,
pink full zip,N,sku_colorGroup/sku_colorCodeDesc/sku_size/product_customAttribute4,,20,$407.30,
pink lululemon bag,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,37,$143.00,
butter leggings,N,sku_colorCodeDesc/parentCategory_displayName,,31,$461.00,
energy medium,N,sku_colorCodeDesc/collections,,28,$150.80,
running shorts 5,Y,product_inseam/product_customAttribute4/product_activity/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,19,$158.00,
cloud b,N,collections/sku_size,,26,$296.30,
scuba cropped joggers,N,product_topsLength_s/collections/parentCategory_displayName,,30,$739.80,
lined 9,N,sku_colorCodeDesc/product_inseam/sku_size,PatternReplaceFilter,26,$436.80,
sculpt tank to,N,collections/parentCategory_displayName,,13,$126.05,
jacket vest,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$297.00,
shorts men 7,Y,product_inseam/product_customAttribute4/gender/parentCategory_displayName/sku_size,PatternReplaceFilter,11,$136.00,
shirt blue,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$0.00,
size 2 swiftly,N,collections/product_inseam/sku_size,PatternReplaceFilter,13,$68.00,
soft pink leggings,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,8,$118.00,
align lululemon,N,sku_colorCodeDesc/collections/parentCategory_displayName,,22,$98.00,
lip gloss sport bra,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,43,$324.00,lip gloss sport bra/lip gloss sport bras
sonic pink studio pants,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,,17,$0.00,
speed up 25 shorts,N,product_inseam/product_customAttribute4/collections/parentCategory_displayName/sku_size,PatternReplaceFilter,16,$117.00,
men wind,N,sku_colorCodeDesc/gender,,22,$0.00,
warm jackets,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,22,$186.00,
surge warm crew,N,sku_colorCodeDesc/collections/product_customAttribute4,,24,"$1,201.00",
rainbow belt,N,sku_colorCodeDesc/product_customAttribute4,,21,$0.00,
tech racerback,N,collections/product_customAttribute4,,21,$615.30,
swift speed pants,N,collections/product_customAttribute4/parentCategory_displayName,,13,$128.00,
athletic tops,N,product_customAttribute4/parentCategory_displayName,,20,$0.00,
swiftly long s,N,product_topsLength_s/collections/sku_size/parentCategory_displayName,,27,$312.00,
swiftly tech c,N,collections/sku_size,,48,$774.50,
swiftly tech lilac,N,sku_colorCodeDesc/collections,,18,$108.00,
swiftly tech marble dye,N,sku_colorCodeDesc/collections,,25,$326.20,
swiftly tech tie dye,N,sku_colorCodeDesc/collections,,20,$0.00,
hike jacket,Y,parentCategory_displayName/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter,20,$0.00,
luxtreme 25,N,sku_colorCodeDesc/product_inseam/sku_size,PatternReplaceFilter,20,$187.00,
symphony blue swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,18,$102.00,
coral define,N,sku_colorCodeDesc/collections,,19,$355.00,
dance shirt,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,EnglishMinimalStemFilter,19,$107.00,
heather leggings,Y,sku_colorCodeDesc/parentCategory_displayName,PorterStemFilter,19,$98.00,
red too,N,sku_colorGroup/sku_colorCodeDesc/parentCategory_displayName,,19,$133.00,
define flush,N,sku_colorCodeDesc/collections,,18,$0.00,
train to be long,N,product_customAttribute4/product_activity/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter,16,$0.00,
underwear short,Y,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,18,$147.80,
true navy sport bra,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,19,$148.80,
twilight rose bags,N,sku_colorCodeDesc/sku_colorGroup_fr/product_customAttribute4/parentCategory_displayName,,13,$128.00,
white wind,N,sku_colorGroup/sku_colorCodeDesc,,17,$111.00,
cayenne align,N,sku_colorCodeDesc/collections,,16,$69.00,
wee made too much,N,sku_colorCodeDesc/parentCategory_displayName,,13,$34.00,
white camo l,N,sku_colorGroup/sku_colorCodeDesc/sku_size,,17,$0.00,
white mini belt bag,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_colorGroup,EnglishMinimalStemFilter,20,$29.00,
swiftly stripe,N,sku_colorCodeDesc/collections,,16,$0.00,
white tank built in bra,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,17,$204.00,
wild to be bra,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,19,$96.00,
women athletic shirt,N,product_customAttribute4/parentCategory_displayName/gender,EnglishMinimalStemFilter,11,$68.00,
women long sleeve tops,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName/gender,,54,$963.30,
women pocket shorts,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName/gender,,9,$39.00,
women shorts tight,N,product_customAttribute4/collections/parentCategory_displayName/gender,EnglishMinimalStemFilter,7,$0.00,
shirt align,Y,collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,13,$57.80,
short speed,Y,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,13,$234.00,
sweater cardigan,Y,product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,13,$0.00,
peony align,N,sku_colorCodeDesc/collections,,11,$138.00,
wunder train leg,Y,parentCategory_displayName/collections/product_customAttribute4/product_activity,PorterStemFilter/EnglishMinimalStemFilter/PorterStemFilter,25,$98.00,
wunder train leggings 28,Y,product_inseam/product_customAttribute4/product_activity/collections/parentCategory_displayName/sku_size,PorterStemFilter/PatternReplaceFilter,27,$294.00,
wunder under full on,N,product_customAttribute4/collections/sku_size/product_activity,PorterStemFilter,15,$98.00,
10 in short,Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,17,$158.00,
28 black leggings,Y,product_inseam/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup/sku_size,PatternReplaceFilter,20,$171.50,
28 leggings women,Y,gender/product_inseam/sku_size/parentCategory_displayName,PatternReplaceFilter,3,$0.00,
"6"" align short",Y,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,14,$64.00,
"6"" bike short",Y,product_inseam/product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,15,$0.00,
align full sleeve,N,collections/sku_size/parentCategory_displayName,,22,$0.00,
align shorts poolside,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,15,$0.00,
align tank d,N,collections/sku_size/parentCategory_displayName,,47,$350.55,
align tank size 2,N,product_inseam/collections/sku_size/parentCategory_displayName,PatternReplaceFilter,21,$185.00,
all black belt bag,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,13,$0.00,
all yours vita,N,sku_colorCodeDesc/collections,,19,$58.00,
always in motion 7 pack,N,product_customAttribute4/collections/sku_size/product_inseam,PorterStemFilter/PatternReplaceFilter,28,$938.80,
athletic long sleeve,N,product_topsLength_s/product_customAttribute4/parentCategory_displayName,,25,$312.00,
black swiftly tech shirt,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter,23,$272.00,
bone belt bag,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,23,$38.00,
butter fly shorts,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,,9,$0.00,
classic align leggings,N,sku_colorCodeDesc/collections/parentCategory_displayName,,2,$0.00,
cropped align leggings,N,product_topsLength_s/collections/parentCategory_displayName,,19,$186.00,
crossbody nano pouch,N,sku_colorCodeDesc/product_customAttribute4,EnglishMinimalStemFilter/PorterStemFilter,19,$78.00,
cyan blue swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,21,$0.00,
cyan sports bra,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,17,$44.00,
dark forest belt,N,sku_colorCodeDesc/product_customAttribute4,,10,$79.80,
dark lavender belt,N,sku_colorCodeDesc/product_customAttribute4,,21,$184.80,
dark lavender wunder train,N,sku_colorCodeDesc/collections/product_customAttribute4/product_activity,PorterStemFilter,18,$133.00,
dark pink scuba,N,sku_colorGroup/sku_colorCodeDesc/collections,,17,$96.00,
define jacket lululemon,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,20,$354.00,
dusty clay leggings,N,sku_colorCodeDesc/parentCategory_displayName,,20,$266.00,
everywhere belt b,N,sku_size/collections/product_customAttribute4,,36,$397.20,
everywhere mini belt bag,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,EnglishMinimalStemFilter,19,$114.00,
fast and free 4,N,sku_size/collections/product_customAttribute4/product_inseam,PatternReplaceFilter,20,$245.70,
fast and free crop leggings,N,product_topsLength_s/collections/product_customAttribute4/parentCategory_displayName,PorterStemFilter,16,$0.00,
fast and free wind breaker,N,sku_colorCodeDesc/collections/product_customAttribute4,,15,$198.00,
flush pink align leggings,N,sku_colorGroup/sku_colorCodeDesc/collections/parentCategory_displayName,,10,$138.00,
free to be s,N,collections/sku_size,,33,$297.20,
free to be wild light,N,sku_colorCodeDesc/collections,,31,$628.80,
full sleeve shirt,N,product_customAttribute4/sku_size/parentCategory_displayName,EnglishMinimalStemFilter,37,$58.00,full sleeve top
green jasper shirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12,$0.00,
green tennis dress,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter/PorterStemFilter,17,$128.00,
grey athletic shirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,18,$0.00,
half tight men,N,gender/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,21,$520.00,
heather black shorts,Y,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,PorterStemFilter,11,$0.00,
hotty hot made too much,N,sku_colorCodeDesc/collections/parentCategory_displayName,,12,$0.00,
hotty hot pistachio,N,sku_colorCodeDesc/collections,,19,$283.00,
in the groove,N,collections/product_activity,,19,$206.50,
kelly green bottoms,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4,,16,$187.00,
light a cloud bra,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/sku_size,EnglishMinimalStemFilter,15,$148.00,
light green belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,20,$86.00,
light purple skirt,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,13,$0.00,
lined tank top,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,18,$186.00,
long navy skirts,N,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_colorGroup,,7,$166.00,
long sleeve men shirt,Y,product_topsLength_s/gender/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,24,$411.80,
long sleeve one,N,product_topsLength_s/product_customAttribute4/sku_size/parentCategory_displayName,,15,$160.00,
lulu align pocket,N,sku_colorCodeDesc/collections/product_customAttribute4,,17,$268.40,
lulu lemon align dress,N,sku_colorCodeDesc/collections/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter/PorterStemFilter,22,$222.00,
swiftly tech short sleeve shirt 20,N,product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter,618,"$13,060.50",
lululemon wunder train,N,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName,PorterStemFilter,28,$582.15,
made to much men,N,gender/collections/parentCategory_displayName,,14,$196.00,
loungeful high,N,collections/product_customAttribute4,,43,"$1,456.60",
neon ebb to street,N,sku_colorGroup/collections,,19,$0.00,
neon green belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,20,$0.00,
pink flush define,N,sku_colorGroup/sku_colorCodeDesc/collections,,20,$100.30,
pink peony belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,12,$0.00,
pink short sleeve shirt,Y,product_customAttribute4/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_colorGroup,EnglishMinimalStemFilter,21,$272.00,
pink tennis dress,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/parentCategory_displayName/sku_colorGroup,EnglishMinimalStemFilter/PorterStemFilter,22,$89.00,
pitch blue bottoms,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4,,12,$236.00,
poolside blue swiftly tech,N,sku_colorGroup/sku_colorCodeDesc/collections,,20,$0.00,
purple ash align,N,sku_colorGroup/sku_colorCodeDesc/collections,,49,$773.65,
tie shirt,Y,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,31,$195.60,
marble pants,N,sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,,29,$89.00,
all sport,N,sku_colorCodeDesc/collections/parentCategory_displayName,EnglishMinimalStemFilter,28,$412.50,
run speed up short,Y,product_customAttribute4/product_activity/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s,PorterStemFilter/EnglishMinimalStemFilter,28,$391.00,run speed up shorts
sculpt tank vent,N,collections/parentCategory_displayName,,22,$316.30,
swiftly tech short sleeve shirt 2,N,product_inseam/product_customAttribute4/sku_colorCodeDesc/collections/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,26,$478.45,
short men 9,Y,product_inseam/product_customAttribute4/gender/sku_colorCodeDesc/parentCategory_displayName/product_topsLength_s/sku_size,EnglishMinimalStemFilter/PatternReplaceFilter,6,$0.00,
short sleeve t-shirts,N,product_topsLength_s/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,14,$48.00,
define m,N,collections/sku_size,,24,$138.00,
shorts size 20,N,sku_size/product_customAttribute4/parentCategory_displayName,,12,$161.00,
silver drop white belt bag,N,sku_colorGroup/sku_colorCodeDesc/product_customAttribute4/parentCategory_displayName,EnglishMinimalStemFilter,20,$76.00,
skirts size 0,N,sku_size/product_customAttribute4/parentCategory_displayName,,18,$0.00,
sonic pink marble dye,N,sku_colorGroup/sku_colorCodeDesc,,15,$0.00,
sonic pink scuba half zip,N,sku_colorGroup/sku_colorCodeDesc/collections/product_customAttribute4,,15,$0.00,
