Left Term,Match Type,Entity,Original Line,Rewritten Line
heart throb,,,heart throb => hot pink,"heart throb => heart throb, hot pink"
swiftly breeze,,,"swiftly breeze => swiftly relaxed, swiftly breathe","swiftly breeze => swiftly breeze, swiftly relaxed, swiftly breathe"
city stroll,,,city stroll => trench coat,"city stroll => city stroll, trench coat"
sun protection,,,"sun protection => uvp, uv","sun protection => sun protection, uvp, uv"
pushing limits,,,"pushing limits => yoga bras, yoga leggings","pushing limits => pushing limits, yoga bras, yoga leggings"
ballet slipper,,,"ballet slipper => pink mist, feather pink","ballet slipper => ballet slipper, pink mist, feather pink"
chase the chill,,,"chase the chill => cold weather leggings, cold weather shirts","chase the chill => chase the chill, cold weather leggings, cold weather shirts"
run off route,,,"run off route => running tank, running shirt","run off route => run off route, running tank, running shirt"
hydrangea blue,,,"hydrangea blue => blue linen, water drop, serene blue, blue cast, chambray","hydrangea blue => hydrangea blue, blue linen, water drop, serene blue, blue cast, chambray"
bluebell,,,"bluebell => royal blue, regatta blue, cerulean blue, symphony blue, larkspur, blue nile, bluebell","bluebell => bluebell, royal blue, regatta blue, cerulean blue, symphony blue, larkspur, blue nile, bluebell"
wild bluebell,,,"wild bluebell => blazer blue, poolside, larkspur, blue nile","wild bluebell => wild bluebell, blazer blue, poolside, larkspur, blue nile"
tankini,,,tankini => swim top,"tankini => tankini, swim top"
on the fly 78,,,on the fly 78 => women's trousers,"on the fly 78 => on the fly 78, women's trousers"
culottes,,,"culottes => align wide leg, soft ambitions high rise crop, wide-leg high rise, bound to bliss high-rise","culottes => culottes, align wide leg, soft ambitions high rise crop, wide-leg high rise, bound to bliss high-rise"
button up,,,"button up => button down, in the moment shirt, boxy seersucker short sleeve","button up => button up, button down, in the moment shirt, boxy seersucker short sleeve"
collared shirt,,,"collared shirt => button down, in the moment shirt, boxy seersucker short sleeve","collared shirt => collared shirt, button down, in the moment shirt, boxy seersucker short sleeve"
travel commute,,,"travel commute => travel, work","travel commute => travel commute, travel, work"
exercise dress,,,"exercise dress => tennis dress, running dress, workout dress","exercise dress => exercise dress, tennis dress, running dress, workout dress"
make up bag,,,make up bag => pouch,"make up bag => make up bag, pouch"
coin purse,,,"coin purse => wallet, pouch","coin purse => coin purse, wallet, pouch"
purse,,,purse => crossbody,"purse => purse, crossbody"
cargo,,,"cargo => cargo, metropolis maven","cargo => cargo, cargo, metropolis maven"
cargos,,,"cargos => cargos, metropolis maven","cargos => cargos, cargos, metropolis maven"
cargo pants,full,product_customAttribute4,"cargo pants => cargo, metropolis maven","cargo pants => cargo pants, cargo, metropolis maven"
scrubs,,,scrubs => dance studio pant,"scrubs => scrubs, dance studio pant"
yoga socks,,,yoga socks => find your balance,"yoga socks => yoga socks, find your balance"
pilates socks,,,pilates socks => find your balance,"pilates socks => pilates socks, find your balance"
barre socks,,,barre socks => find your balance,"barre socks => barre socks, find your balance"
fuzzy fanny pack,,,fuzzy fanny pack => fleece belt bag,"fuzzy fanny pack => fuzzy fanny pack, fleece belt bag"
crew backpack,,,crew backpack => backpack,"crew backpack => crew backpack, backpack"
forest green,,,"forest green => rainforest green, everglade green","forest green => forest green, rainforest green, everglade green"
drawstring bag,,,"drawstring bag => dual function, side-cinch shopper bag, paracord, take it on crossbody pouch, Play Forward Crossbody Pouch","drawstring bag => drawstring bag, dual function, side-cinch shopper bag, paracord, take it on crossbody pouch, Play Forward Crossbody Pouch"
turtleneck,,,"turtleneck => turtleneck, ready to rulu pullover, fleece insulated pullover, mock neck, pace pursuit long sleeve","turtleneck => turtleneck, turtleneck, ready to rulu pullover, fleece insulated pullover, mock neck, pace pursuit long sleeve"
ruched waist,,,"ruched waist => ruched waist, gathered waist, ribbed waist","ruched waist => ruched waist, ruched waist, gathered waist, ribbed waist"
burnt orange,,,"burnt orange => burnt orange, copper brown, desert sun","burnt orange => burnt orange, burnt orange, copper brown, desert sun"
scuba sweater,,,scuba sweater => scuba hoodies & sweatshirts,"scuba sweater => scuba sweater, scuba hoodies & sweatshirts"
yoga mat spray,,,yoga mat spray => yoga mat spray,"yoga mat spray => yoga mat spray, yoga mat spray"
reversible yoga mat,,,"reversible yoga mat => yoga mat, yoga mat spray","reversible yoga mat => reversible yoga mat, yoga mat, yoga mat spray"
fast track,,,"fast track => duffle, backpack","fast track => fast track, duffle, backpack"
fast as light,,,fast as light => womens training tank tops,"fast as light => fast as light, womens training tank tops"
spandex,,,"spandex => leggings, biker shorts","spandex => spandex, leggings, biker shorts"
tall shorts,,,"tall shorts => short 10, womens short 5, short 10, short 11","tall shorts => tall shorts, short 10, womens short 5, short 10, short 11"
nude,,,"nude => beige, tan, brown, trench, soft sand, smoky topaz, dusty bronze, misty shell, chantilly, frontier, cafe au lait, brown","nude => nude, beige, tan, brown, trench, soft sand, smoky topaz, dusty bronze, misty shell, chantilly, frontier, cafe au lait, brown"
bolster,,,"bolster => yoga block, yoga kit","bolster => bolster, yoga block, yoga kit"
commute,,,"commute => work, on the move","commute => commute, work, on the move"
waterproof pants,,,waterproof pants => water resistant pants,"waterproof pants => waterproof pants, water resistant pants"
tech fleece,,,"tech fleece => Base Pace Fleece, Adapted State High-Rise Fleece, Fleece Flurry Jacket, Cross Chill Jacket RepelShell, down for it all, run for it all neck warmer, cold terrain run beanie, chase the chill","tech fleece => tech fleece, Base Pace Fleece, Adapted State High-Rise Fleece, Fleece Flurry Jacket, Cross Chill Jacket RepelShell, down for it all, run for it all neck warmer, cold terrain run beanie, chase the chill"
scuba plush,,,"scuba plush => plush, scuba","scuba plush => scuba plush, plush, scuba"
infinity scarf,,,"infinity scarf => customizable snap, fleece lined knit neck, chevron knit neck","infinity scarf => infinity scarf, customizable snap, fleece lined knit neck, chevron knit neck"
jogging,,,"jogging => joggers, running","jogging => jogging, joggers, running"
baseball hat,,,"baseball hat => ball cap, baller hat, free run hat, free ponytail running hat, race kit hat, crushable run hat, lab run hat, train women's hat, commission hat","baseball hat => baseball hat, ball cap, baller hat, free run hat, free ponytail running hat, race kit hat, crushable run hat, lab run hat, train women's hat, commission hat"
baseball,,,"baseball => ball cap, baller hat, free run hat, free ponytail running hat, race kit hat, crushable run hat, lab run hat, train women's hat, commission hat","baseball => baseball, ball cap, baller hat, free run hat, free ponytail running hat, race kit hat, crushable run hat, lab run hat, train women's hat, commission hat"
sweatband,,,"sweatband => headband, wrist band","sweatband => sweatband, headband, wrist band"
sweat band,,,"sweat band => headband, wrist band","sweat band => sweat band, headband, wrist band"
swiftly wool,,,"swiftly wool => wool sweater, wool hoodie, swiftly","swiftly wool => swiftly wool, wool sweater, wool hoodie, swiftly"
surge warm half zip,,,surge warm half zip => surge warm 1/2 zip,"surge warm half zip => surge warm half zip, surge warm 1/2 zip"
surge half zip,,,surge half zip => surge warm 1/2 zip,"surge half zip => surge half zip, surge warm 1/2 zip"
warm leggings,,,"warm leggings => fleece leggings, cold weather leggings","warm leggings => warm leggings, fleece leggings, cold weather leggings"
multi pack,,,"multi pack => 3 pack, 5 pack, 7 back, 10 pack, 2 pack, 4 pack, 6 pack, 8 pack, 12 pack","multi pack => multi pack, 3 pack, 5 pack, 7 back, 10 pack, 2 pack, 4 pack, 6 pack, 8 pack, 12 pack"
multipack,,,"multipack => 3 pack, 5 pack, 7 back, 10 pack, 2 pack, 4 pack, 6 pack, 8 pack, 12 pack","multipack => multipack, 3 pack, 5 pack, 7 back, 10 pack, 2 pack, 4 pack, 6 pack, 8 pack, 12 pack"
sage,,,"sage => sage, saje","sage => sage, sage, saje"
sale,,,sale => we made too much,"sale => sale, we made too much"
on sale,,,on sale => we made too much,"on sale => on sale, we made too much"
black friday,,,black friday => we made too much,"black friday => black friday, we made too much"
groove align,,,"groove align => groove, align","groove align => groove align, groove, align"
flannel,,,"flannel => button down long sleeve shirt, overshirt","flannel => flannel, button down long sleeve shirt, overshirt"
here to there,,,here to there => casual,"here to there => here to there, casual"
