Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
luxtreme shorts,N,sku_colorCodeDesc(luxtreme)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,24,$0.00
size 0 sports bras,N,sku_size(0_size)/parentCategory_displayName(bras_sports)/product_customAttribute4(bras),,11,$0.00
size 18 skirt,N,sku_size(18_size)/product_inseam(18)/parentCategory_displayName(skirt)/product_customAttribute4(skirt),PatternReplaceFilter(18)/EnglishMinimalStemFilter(skirt),9,$244.00
size 20 pant,N,sku_size(20_size)/product_customAttribute4(pant)/parentCategory_displayName(pant),EnglishMinimalStemFilter(pant),4,$325.00
align cut,N,collections(align)/sku_colorCodeDesc(cut),,23,$39.00
love are,N,collections(love)/sku_colorCodeDesc(are_love),,23,$360.00
mint scuba,N,sku_colorCodeDesc(mint)/collections(scuba),,23,$0.00
city crewneck,N,collections(city)/product_customAttribute4(crewneck),,22,$84.00
dress pink,Y,product_customAttribute4(dress)/parentCategory_displayName(dress)/sku_colorCodeDesc(pink)/sku_colorGroup(pink),EnglishMinimalStemFilter/PorterStemFilter(dress),22,$0.00
sonic pink tie dye,N,sku_colorCodeDesc(dye_pink_sonic_tie)/sku_colorGroup(pink),,21,$117.00
space dye leggings,N,sku_colorCodeDesc(dye_space)/parentCategory_displayName(leggings),PorterStemFilter(space),9,$0.00
speed up high tide,N,collections(speed_up)/product_customAttribute4(high_up)/sku_colorCodeDesc(tide),,11,$136.00
speed up or short,N,collections(speed_up)/product_customAttribute4(short_up)/sku_colorGroup_fr(or)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(short),16,$136.00
sport shorts women,N,sku_colorCodeDesc(sport)/parentCategory_displayName(shorts_sport_women)/product_customAttribute4(shorts)/gender(women),EnglishMinimalStemFilter(sport),17,$0.00
swift run,Y,collections(run_swift)/product_activity(run)/product_customAttribute4(run),PorterStemFilter(run),22,$68.00
bright red,N,sku_colorCodeDesc(bright_red)/sku_colorGroup(red),,21,$68.00
surge warm zip,N,collections(surge)/sku_colorCodeDesc(warm)/product_customAttribute4(zip),,15,$133.00
bone crew,N,sku_colorCodeDesc(bone)/product_customAttribute4(crew),,20,$0.00
swiftly tech cropped shirt,N,collections(swiftly_tech)/product_topsLength_s(cropped)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),41,$270.30
swiftly tech men,N,collections(swiftly_tech)/gender(men),,19,$78.00
swiftly tech shirt short sleeve,N,collections(swiftly_tech)/product_customAttribute4(shirt_short)/parentCategory_displayName(shirt_short_sleeve)/product_topsLength_s(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(shirt_short),16,$340.00
swiftly tech t-shirts,N,collections(swiftly_tech)/parentCategory_displayName(t-shirts),,19,$51.00
men 9,Y,gender(men)/sku_size(9)/product_inseam(9),PatternReplaceFilter(9),20,$195.00
perfectly crew,N,collections(perfectly)/product_customAttribute4(crew),,20,$237.15
symphony blue hotty hot,N,sku_colorCodeDesc(blue_hot_symphony)/sku_colorGroup(blue)/collections(hot_hotty),,16,$0.00
sports shirt,N,parentCategory_displayName(shirt_sports)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),19,$78.00
cream joggers,N,sku_colorCodeDesc(cream)/parentCategory_displayName(joggers),,18,$0.00
top built in bra,N,parentCategory_displayName(bra_top)/product_customAttribute4(bra_top)/collections(built_in),EnglishMinimalStemFilter(bra_top),14,$78.00
training all bras,N,product_activity(training)/product_customAttribute4(bras_training)/collections(all)/parentCategory_displayName(bras),,11,$58.00
velvet dust shirts,N,sku_colorCodeDesc(dust_velvet)/parentCategory_displayName(shirts),,14,$175.00
yoga tight,Y,product_activity(yoga)/product_customAttribute4(yoga)/parentCategory_displayName(tight_yoga)/collections(tight),EnglishMinimalStemFilter(tight),17,$375.00
crop capri,N,product_topsLength_s(crop)/parentCategory_displayName(capri),PorterStemFilter(crop)/EnglishMinimalStemFilter(capri),16,$79.20
we made too much ebb,N,parentCategory_displayName(made_much_too_we)/collections(ebb),,21,$176.00
white cheetah leggings,N,sku_colorGroup(white)/sku_colorCodeDesc(cheetah_white)/parentCategory_displayName(leggings),,18,$98.00
white cropped leggings,N,sku_colorGroup(white)/sku_colorCodeDesc(white)/product_topsLength_s(cropped)/parentCategory_displayName(leggings),,8,$0.00
white sport bras,Y,sku_colorGroup(white)/sku_colorCodeDesc(sport_white)/parentCategory_displayName(bras_sport)/product_customAttribute4(bras),EnglishMinimalStemFilter(sport),15,$116.00
align mint,N,collections(align)/sku_colorCodeDesc(mint),,15,$174.55
bra crop,N,parentCategory_displayName(bra)/product_customAttribute4(bra)/product_topsLength_s(crop),EnglishMinimalStemFilter(bra)/PorterStemFilter(crop),15,$68.00
olive camo,N,sku_colorGroup_fr(olive)/sku_colorGroup(olive)/sku_colorCodeDesc(camo_olive),,15,$0.00
wunder chambray,N,collections(wunder)/sku_colorCodeDesc(chambray),,15,$59.00
bags men,N,parentCategory_displayName(bags)/product_customAttribute4(bags)/gender(men),,12,$0.00
wunder train pocket 25,N,collections(train_wunder)/product_activity(train)/product_customAttribute4(pocket_train)/sku_colorCodeDesc(pocket)/sku_size(25)/product_inseam(25),PorterStemFilter(train)/PatternReplaceFilter(25),23,$263.80
wunder train shorts 4 in,N,collections(in_train_wunder)/product_activity(train)/product_customAttribute4(shorts_train)/parentCategory_displayName(shorts)/sku_size(4)/product_inseam(4),PorterStemFilter(train)/PatternReplaceFilter(4),12,$64.00
yoga pants long,N,product_activity(yoga)/product_customAttribute4(pants_yoga)/parentCategory_displayName(long_pants_yoga)/product_topsLength_s(long),,14,$236.00
yoga travel mat,Y,product_activity(travel_yoga)/product_customAttribute4(mat_yoga)/parentCategory_displayName(mat_yoga)/sku_size(travel),EnglishMinimalStemFilter(mat),14,$0.00
4 in speed up,N,sku_size(4)/product_inseam(4)/collections(in_speed_up)/product_customAttribute4(up),PatternReplaceFilter(4),20,$287.30
abc classic 37,N,collections(abc)/sku_colorCodeDesc(classic)/sku_size(37)/product_inseam(37),PatternReplaceFilter(37),27,$640.00
abc pants short,N,collections(abc)/product_customAttribute4(pants_short)/parentCategory_displayName(pants_short)/product_topsLength_s(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(short),16,$128.00
align cyan blue,N,collections(align)/sku_colorCodeDesc(blue_cyan)/sku_colorGroup(blue),,24,$323.00
align short 4 in,N,collections(align_in)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)/sku_size(4)/product_inseam(4),EnglishMinimalStemFilter(short)/PatternReplaceFilter(4),22,$183.50
at ease pants,N,collections(at_ease)/product_customAttribute4(pants)/parentCategory_displayName(pants),,29,$591.80
belt bag sage,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_colorCodeDesc(sage),EnglishMinimalStemFilter(bag),29,$314.00
belt bag tan,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_colorCodeDesc(tan),EnglishMinimalStemFilter(bag),27,$48.00
black and gold crossbody,N,sku_colorGroup(black)/sku_colorCodeDesc(black_gold)/product_customAttribute4(and_crossbody),,29,$232.00
black and white everywhere bag,N,sku_colorGroup(black_white)/sku_colorCodeDesc(black_white)/product_customAttribute4(and_bag)/collections(everywhere)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),14,$114.00
black and white shirt,N,sku_colorGroup(black_white)/sku_colorCodeDesc(black_white)/product_customAttribute4(and_shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),27,$96.00
black gold belt,N,sku_colorGroup(black)/sku_colorCodeDesc(black_gold)/product_customAttribute4(belt),,22,$334.00
black sweat shirt,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/product_customAttribute4(shirt_sweat)/collections(sweat)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),19,$354.00
black tight shirt,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/collections(tight)/parentCategory_displayName(shirt_tight)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt_tight),23,$0.00
bright blue shorts,N,sku_colorCodeDesc(blue_bright)/sku_colorGroup(blue)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,18,$68.00
camo align pants,N,sku_colorCodeDesc(camo)/collections(align)/product_customAttribute4(pants)/parentCategory_displayName(pants),,21,$166.60
camo wunder under,N,sku_colorCodeDesc(camo)/collections(under_wunder),,17,$0.00
cheetah camo pants,N,sku_colorCodeDesc(camo_cheetah)/product_customAttribute4(pants)/parentCategory_displayName(pants),,6,$0.00
commission short sleeve shirt,N,collections(commission)/sku_colorCodeDesc(commission_short)/product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),22,$249.10
commission shorts classic,N,collections(commission)/sku_colorCodeDesc(classic_commission)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,9,$0.00
cropped pocket pants,N,product_topsLength_s(cropped)/product_customAttribute4(pants_pocket)/sku_colorCodeDesc(pocket)/parentCategory_displayName(pants),,2,$0.00
cropped women pants,N,product_topsLength_s(cropped)/gender(women)/parentCategory_displayName(pants_women)/product_customAttribute4(pants),,13,$103.50
crossbody bucket bag,N,product_customAttribute4(bag_bucket_crossbody)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),16,$0.00
dark blue shorts women,N,sku_colorCodeDesc(blue_dark)/sku_colorGroup(blue)/product_customAttribute4(shorts)/parentCategory_displayName(shorts_women)/gender(women),,4,$0.00
dark red swiftly tech,N,sku_colorCodeDesc(dark_red)/sku_colorGroup(red)/collections(swiftly_tech),,17,$57.80
define jacket size 0,N,collections(define)/product_customAttribute4(jacket)/parentCategory_displayName(jacket)/sku_size(0_size),EnglishMinimalStemFilter(jacket),35,$118.00
diamond dye wunder train,N,sku_colorCodeDesc(diamond_dye)/collections(train_wunder)/product_activity(train)/product_customAttribute4(train),PorterStemFilter(train),17,$98.00
ebb to street tank too,N,collections(ebb_street_to)/parentCategory_displayName(tank_too),,19,$229.00
electric turquoise leggings,N,sku_colorCodeDesc(electric_turquoise)/parentCategory_displayName(leggings),,13,$0.00
everywhere belt bag 2 l,N,collections(everywhere)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_size(2_l)/product_inseam(2),EnglishMinimalStemFilter(bag)/PatternReplaceFilter(2),20,$144.00
everywhere belt bag medium,N,collections(everywhere)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_colorCodeDesc(medium),EnglishMinimalStemFilter(bag),18,$77.00
fast and free trail running,N,collections(fast_free)/product_customAttribute4(and_running_trail)/product_activity(running),,25,$969.80
free to bra wild,N,collections(free_to)/parentCategory_displayName(bra)/product_customAttribute4(bra)/sku_colorCodeDesc(wild),EnglishMinimalStemFilter(bra),16,$123.00
gold scuba,N,sku_colorCodeDesc(gold)/collections(scuba),,95,"$1,889.50"
grey tie dye leggings,N,sku_colorGroup(grey)/sku_colorCodeDesc(dye_grey_tie)/parentCategory_displayName(leggings),,22,$128.00
heather lux multi black shorts,N,sku_colorCodeDesc(black_heather_lux_multi)/sku_colorGroup(black)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),PorterStemFilter(heather_lux),14,$0.00
hot pink define,N,sku_colorCodeDesc(hot_pink)/collections(define_hot)/sku_colorGroup(pink),,20,$118.00
jackets and hoodies,N,product_customAttribute4(and_hoodies_jackets)/parentCategory_displayName(hoodies_jackets),,19,$600.00
kelly green joggers,N,sku_colorCodeDesc(green_kelly)/sku_colorGroup(green)/parentCategory_displayName(joggers),,18,$236.00
kohlrabi green shirt,Y,sku_colorCodeDesc(green_kohlrabi)/sku_colorGroup(green)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),17,$145.00
leggings dark blue,N,parentCategory_displayName(leggings)/sku_colorCodeDesc(blue_dark)/sku_colorGroup(blue),,16,$0.00
light rain jacket,N,sku_colorCodeDesc(light)/product_customAttribute4(jacket_rain)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),19,$0.00
logo training tank,N,sku_colorCodeDesc(logo)/product_activity(training)/product_customAttribute4(training)/parentCategory_displayName(tank),,20,$138.00
long line sports bras,N,product_topsLength_s(long)/parentCategory_displayName(bras_long_sports)/sku_colorCodeDesc(line)/product_customAttribute4(bras),PorterStemFilter(line),21,$68.00
long sleeve align shirt,Y,product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/collections(align)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),23,$34.00
long sleeve tank,N,product_topsLength_s(long)/parentCategory_displayName(long_sleeve_tank),,18,$348.00
long yoga pants,N,product_topsLength_s(long)/parentCategory_displayName(long_pants_yoga)/product_activity(yoga)/product_customAttribute4(pants_yoga),,27,$364.00
lulu align long sleeve,N,sku_colorCodeDesc(lulu)/collections(align)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),,23,$337.00
lulu strap belt bag,N,sku_colorCodeDesc(lulu)/product_customAttribute4(bag_belt_strap)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag_strap),12,$0.00
lululemon align crop 23,N,collections(align_lululemon)/parentCategory_displayName(lululemon)/sku_colorCodeDesc(lululemon)/product_topsLength_s(crop)/product_inseam(23),PorterStemFilter(crop)/PatternReplaceFilter(23),27,$262.00
lululemon align long,N,collections(align_lululemon)/parentCategory_displayName(long_lululemon)/sku_colorCodeDesc(lululemon)/product_topsLength_s(long),,26,$284.95
men yoga shirt,Y,gender(men)/product_activity(yoga)/product_customAttribute4(shirt_yoga)/parentCategory_displayName(shirt_yoga),EnglishMinimalStemFilter(shirt),10,$210.00
orange sport bra,Y,sku_colorGroup(orange)/sku_colorCodeDesc(orange_sport)/parentCategory_displayName(bra_sport)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra_sport),15,$108.00
pants we made too much,N,product_customAttribute4(pants)/parentCategory_displayName(made_much_pants_too_we),,17,$0.00
running le,N,product_activity(running)/product_customAttribute4(running)/sku_colorCodeDesc(le),,34,$0.00
pink water b,N,sku_colorCodeDesc(pink_water)/sku_colorGroup(pink)/parentCategory_displayName(water)/sku_size(b),,26,$92.00
tan shirt,Y,sku_colorCodeDesc(tan)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),32,$98.80
lulu hotty,N,sku_colorCodeDesc(lulu)/collections(hotty),,28,$136.00
running short sleeve shirt,Y,product_activity(running)/product_customAttribute4(running_shirt_short)/product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(shirt_short),10,$0.00
classic commission,N,sku_colorCodeDesc(classic_commission)/collections(commission),,25,$543.60
forest shirt,Y,sku_colorCodeDesc(forest)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),24,$320.00
shirt tight,Y,product_customAttribute4(shirt)/parentCategory_displayName(shirt_tight)/collections(tight),EnglishMinimalStemFilter(shirt_tight),24,$136.00
size 4 black leggings,N,sku_size(4_size)/product_inseam(4)/sku_colorGroup(black)/sku_colorCodeDesc(black)/parentCategory_displayName(leggings),PatternReplaceFilter(4),27,$569.00
skirt size 16,N,parentCategory_displayName(skirt)/product_customAttribute4(skirt)/sku_size(16_size)/product_inseam(16),EnglishMinimalStemFilter(skirt)/PatternReplaceFilter(16),13,$0.00
cross belt,N,product_customAttribute4(belt_cross)/sku_colorCodeDesc(cross),,23,$76.00
swiftly shorts,N,collections(swiftly)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,23,$0.00
cyan b,N,sku_colorCodeDesc(cyan)/sku_size(b),,22,$104.00
solar orange shirt,Y,sku_colorCodeDesc(orange_solar)/sku_colorGroup(orange)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),15,$64.00
lined dress,N,sku_colorCodeDesc(lined)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),22,$0.00
sport bra d,Y,sku_colorCodeDesc(sport)/parentCategory_displayName(bra_sport)/product_customAttribute4(bra)/sku_size(d),EnglishMinimalStemFilter(bra_sport),11,$0.00
scuba leggings,N,collections(scuba)/parentCategory_displayName(leggings),,22,$247.00
short dress,N,product_topsLength_s(short)/parentCategory_displayName(dress_short)/sku_colorCodeDesc(short)/product_customAttribute4(dress_short),EnglishMinimalStemFilter(short)/EnglishMinimalStemFilter/PorterStemFilter(dress),22,$0.00
swift 28,Y,collections(swift)/sku_size(28)/product_inseam(28),PatternReplaceFilter(28),22,$342.75
nano city,N,sku_colorCodeDesc(nano)/collections(city),,21,$0.00
swift long sleeve shirt,N,collections(swift)/product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),24,$167.00
work shirt,Y,product_activity(work)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),21,$272.00
swift speed high rose tight,N,collections(speed_swift_tight)/product_customAttribute4(high)/sku_colorGroup_fr(rose)/sku_colorCodeDesc(rose)/parentCategory_displayName(tight),EnglishMinimalStemFilter(tight),3,$0.00
"19"" leggings",N,"product_inseam(19"")/parentCategory_displayName(leggings)",,20,$0.00
swiftly size 2,N,collections(swiftly)/sku_size(2_size)/product_inseam(2),PatternReplaceFilter(2),18,$0.00
swiftly tech 20 short sleeve,N,collections(swiftly_tech)/sku_size(20)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),18,$428.00
swiftly tech size 6,N,collections(swiftly_tech)/sku_size(6_size)/product_inseam(6),PatternReplaceFilter(6),8,$136.00
swimsuit one piece,Y,product_customAttribute4(one_piece_swimsuit)/parentCategory_displayName(swimsuit)/sku_size(one),EnglishMinimalStemFilter(swimsuit),14,$89.00
surge 8,N,collections(surge)/sku_size(8)/product_inseam(8),PatternReplaceFilter(8),20,$59.00
symphony blue leggings,N,sku_colorCodeDesc(blue_symphony)/sku_colorGroup(blue)/parentCategory_displayName(leggings),,19,$212.15
to much made,N,collections(to)/parentCategory_displayName(made_much),,2,$0.00
train to be s,N,collections(be_to_train)/product_activity(train)/product_customAttribute4(train)/sku_size(s),PorterStemFilter(train),23,$0.00
green leg,Y,sku_colorGroup(green)/sku_colorCodeDesc(green)/product_customAttribute4(leg)/parentCategory_displayName(leg),EnglishMinimalStemFilter/PorterStemFilter(leg),17,$0.00
high speed,N,product_customAttribute4(high)/collections(speed),,17,$206.00
lululemon ebb to street tank top,N,collections(ebb_lululemon_street_to)/parentCategory_displayName(lululemon_tank_top)/sku_colorCodeDesc(lululemon)/product_customAttribute4(top),EnglishMinimalStemFilter(top),11,$180.00
white shorts size 2,N,sku_colorGroup(white)/sku_colorCodeDesc(white)/product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_size(2_size)/product_inseam(2),PatternReplaceFilter(2),16,$68.00
wild indigo scuba,N,sku_colorCodeDesc(indigo_wild)/collections(scuba),,18,$0.00
wild sports bra,N,sku_colorCodeDesc(wild)/parentCategory_displayName(bra_sports)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),21,$48.00
java pocket,N,sku_colorCodeDesc(java_pocket)/product_customAttribute4(pocket),,14,$0.00
women shorts leggings,N,gender(women)/parentCategory_displayName(leggings_shorts_women)/product_customAttribute4(shorts),,5,$0.00
women size 20,N,gender(women)/parentCategory_displayName(women)/sku_size(20_size),,11,$351.00
women swim short,N,gender(women)/parentCategory_displayName(short_swim_women)/product_activity(swim)/product_topsLength_s(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),19,$29.00
wild leg,Y,sku_colorCodeDesc(wild)/product_customAttribute4(leg)/parentCategory_displayName(leg),EnglishMinimalStemFilter/PorterStemFilter(leg),14,$0.00
kelly tank,N,sku_colorCodeDesc(kelly)/parentCategory_displayName(tank),,13,$224.00
pocket capris,N,product_customAttribute4(pocket)/sku_colorCodeDesc(pocket)/parentCategory_displayName(capris),,13,$591.00
pants luxtreme,N,product_customAttribute4(pants)/parentCategory_displayName(pants)/sku_colorCodeDesc(luxtreme),,12,$58.65
"25"" pocket",N,"product_inseam(25"")/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket)",,11,$128.00
psychic pants,N,sku_colorCodeDesc(psychic)/product_customAttribute4(pants)/parentCategory_displayName(pants),,11,$69.00
wunder 25 pocket,N,collections(wunder)/sku_size(25)/product_inseam(25)/product_customAttribute4(pocket)/sku_colorCodeDesc(pocket),PatternReplaceFilter(25),15,$128.00
25 black leggings,Y,sku_size(25)/product_inseam(25)/sku_colorGroup(black)/sku_colorCodeDesc(black)/parentCategory_displayName(leggings),PatternReplaceFilter(25),17,$401.65
4 in align shorts,N,sku_size(4)/product_inseam(4)/collections(align_in)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),PatternReplaceFilter(4),19,$48.00
8 in short,Y,sku_size(8)/product_inseam(8)/collections(in)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),PatternReplaceFilter(8)/EnglishMinimalStemFilter(short),12,$93.00
"align 8"" short",Y,"collections(align)/product_inseam(8"")/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short)",EnglishMinimalStemFilter(short),16,$39.00
align bike shorts 4,N,collections(align)/product_activity(bike)/product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_size(4)/product_inseam(4),PatternReplaceFilter(4),15,$64.00
ebb to street cropped racerback tank,N,collections(ebb_racerback_street_to)/product_topsLength_s(cropped)/product_customAttribute4(racerback)/parentCategory_displayName(tank),,104,"$1,921.45"
align leggings size 4,N,collections(align)/parentCategory_displayName(leggings)/sku_size(4_size)/product_inseam(4),PatternReplaceFilter(4),26,$667.00
align mulled wine,N,collections(align)/sku_colorCodeDesc(mulled_wine),,18,$226.00
align short sleeve top,N,collections(align)/product_topsLength_s(short)/parentCategory_displayName(short_sleeve_top)/sku_colorCodeDesc(short)/product_customAttribute4(short_top),EnglishMinimalStemFilter(short_top),25,$0.00
army green belt bag,N,sku_colorCodeDesc(army_green)/sku_colorGroup(green)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),19,$0.00
belt bag grey sage,N,product_customAttribute4(bag_belt)/parentCategory_displayName(bag)/sku_colorGroup(grey)/sku_colorCodeDesc(grey_sage),EnglishMinimalStemFilter(bag),32,$710.70
black align dress,Y,sku_colorGroup(black)/sku_colorCodeDesc(black)/collections(align)/product_customAttribute4(dress)/parentCategory_displayName(dress),EnglishMinimalStemFilter/PorterStemFilter(dress),26,$259.00
black long leggings,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/product_topsLength_s(long)/parentCategory_displayName(leggings_long),,15,$294.00
black mini belt bag,N,sku_colorGroup(black)/sku_colorCodeDesc(black_mini)/product_topsLength_s(mini)/product_customAttribute4(bag_belt)/parentCategory_displayName(bag),EnglishMinimalStemFilter(bag),18,$366.00
blue marble dye,N,sku_colorGroup(blue)/sku_colorCodeDesc(blue_dye_marble),,22,$0.00
blue shirt men,Y,sku_colorGroup(blue)/sku_colorCodeDesc(blue)/product_customAttribute4(shirt)/parentCategory_displayName(shirt)/gender(men),EnglishMinimalStemFilter(shirt),15,$0.00
bone sport bra,Y,sku_colorCodeDesc(bone_sport)/parentCategory_displayName(bra_sport)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra_sport),30,$237.00
carnation red tops,N,sku_colorCodeDesc(carnation_red)/sku_colorGroup(red)/parentCategory_displayName(tops)/product_customAttribute4(tops),,15,$0.00
commission long sleeve wash,N,collections(commission)/sku_colorCodeDesc(commission_wash)/product_topsLength_s(long)/parentCategory_displayName(long_sleeve),PorterStemFilter(wash),19,$324.50
coral swiftly tech,N,sku_colorCodeDesc(coral)/collections(swiftly_tech),,20,$45.90
cyan blue shirts,N,sku_colorCodeDesc(blue_cyan)/sku_colorGroup(blue)/parentCategory_displayName(shirts),,10,$58.00
dance studio cropped jogger,N,collections(dance_studio)/product_activity(dance)/product_topsLength_s(cropped)/parentCategory_displayName(jogger),EnglishMinimalStemFilter(jogger),27,$506.00
diamond dye cassis black,N,sku_colorCodeDesc(black_cassis_diamond_dye)/sku_colorGroup(black),,17,$0.00
energy bra java,N,collections(energy)/parentCategory_displayName(bra)/product_customAttribute4(bra)/sku_colorCodeDesc(java),EnglishMinimalStemFilter(bra),21,$140.00
energy bra lip gloss,N,collections(energy)/parentCategory_displayName(bra)/product_customAttribute4(bra)/sku_colorCodeDesc(gloss_lip),EnglishMinimalStemFilter(bra),17,$44.00
espresso all yours,N,sku_colorCodeDesc(espresso)/collections(all_yours),,15,$190.00
"fast and free 6""",N,"collections(fast_free)/product_customAttribute4(and)/product_inseam(6"")",,37,$221.80
fast and free lip gloss,N,collections(fast_free)/product_customAttribute4(and)/sku_colorCodeDesc(gloss_lip),,18,$78.00
green short sleeve shirt,Y,sku_colorGroup(green)/sku_colorCodeDesc(green_short)/product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),12,$68.00
grey sweat pants,N,sku_colorGroup(grey)/sku_colorCodeDesc(grey)/product_customAttribute4(pants_sweat)/collections(sweat)/parentCategory_displayName(pants),,18,$0.00
half zip oversized scuba,N,product_customAttribute4(half_zip)/collections(oversized_scuba),,36,$660.80
heather grey hotty,Y,sku_colorCodeDesc(grey_heather)/sku_colorGroup(grey)/collections(hotty),PorterStemFilter(heather),22,$0.00
hot pink leg,N,sku_colorCodeDesc(hot_pink)/collections(hot)/sku_colorGroup(pink)/product_customAttribute4(leg)/parentCategory_displayName(leg),EnglishMinimalStemFilter/PorterStemFilter(leg),19,$0.00
hot yoga leggings,N,sku_colorCodeDesc(hot)/collections(hot)/product_activity(yoga)/product_customAttribute4(yoga)/parentCategory_displayName(leggings_yoga),,13,$186.00
hotty hot electric lemon,N,collections(hot_hotty)/sku_colorCodeDesc(electric_hot_lemon),,16,$88.00
hotty hot lilac smoke,N,collections(hot_hotty)/sku_colorCodeDesc(hot_lilac_smoke),PorterStemFilter(smoke),15,$39.00
kelly green wind,N,sku_colorCodeDesc(green_kelly_wind)/sku_colorGroup(green),,12,$0.00
leggings size 16,N,parentCategory_displayName(leggings)/sku_size(16_size)/product_inseam(16),PatternReplaceFilter(16),20,$667.00
lined shorts sonic pink,N,sku_colorCodeDesc(lined_pink_sonic)/product_customAttribute4(shorts)/parentCategory_displayName(shorts)/sku_colorGroup(pink),,1,$0.00
logo sport polo shirt sleeve,N,sku_colorCodeDesc(logo_sport)/parentCategory_displayName(polo_shirt_sleeve_sport)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt_sport),24,$300.80
long sleeve love crew,N,product_topsLength_s(long)/parentCategory_displayName(long_sleeve)/collections(love)/sku_colorCodeDesc(love)/product_customAttribute4(crew),,22,$324.00
long sport bra,N,product_topsLength_s(long)/parentCategory_displayName(bra_long_sport)/sku_colorCodeDesc(sport)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra_sport),22,$78.00
loungeful crewneck pullover,N,collections(loungeful)/product_customAttribute4(crewneck_pullover),,20,$0.00
lulu align bodysuit black,N,sku_colorCodeDesc(black_lulu)/collections(align)/parentCategory_displayName(bodysuit)/sku_colorGroup(black),EnglishMinimalStemFilter(bodysuit),12,$148.00
lulu lemon belt bags,N,sku_colorCodeDesc(lemon_lulu)/product_customAttribute4(bags_belt)/parentCategory_displayName(bags),,15,$0.00
