Problematic Search Query,Legitimate,Catalog Field,Normalization Filters,Visits,Revenue
train to be short,N,collections(be_to_train)/product_activity(train)/product_customAttribute4(short_train)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),PorterStemFilter(train)/EnglishMinimalStemFilter(short),1473,"$17,497.33"
lululemon align shorts,N,collections(align_lululemon)/parentCategory_displayName(lululemon_shorts)/sku_colorCodeDesc(lululemon)/product_customAttribute4(shorts),,1315,"$9,267.45"
fast and free jacket,N,collections(fast_free)/product_customAttribute4(and_jacket)/parentCategory_displayName(jacket),EnglishMinimalStemFilter(jacket),1732,"$26,211.85"
hair tie,N,parentCategory_displayName(hair)/product_customAttribute4(hair)/sku_colorCodeDesc(tie),,1991,"$4,576.80"
mini belt,N,product_topsLength_s(mini)/sku_colorCodeDesc(mini)/product_customAttribute4(belt),,2142,"$15,854.55"
fast and free 25,N,collections(fast_free)/product_customAttribute4(and)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),1687,"$19,803.55"
wunder 25,Y,collections(wunder)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),1347,"$9,887.35"
black swiftly tech,N,sku_colorGroup(black)/sku_colorCodeDesc(black)/collections(swiftly_tech),,1946,"$8,952.70"
wunder under shorts,N,collections(under_wunder)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,1369,"$7,477.96"
lulu shorts,N,sku_colorCodeDesc(lulu)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,1413,"$5,100.40"
lined shorts,N,sku_colorCodeDesc(lined)/product_customAttribute4(shorts)/parentCategory_displayName(shorts),,1475,"$13,867.00"
red shirt,Y,sku_colorGroup(red)/sku_colorCodeDesc(red)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),1556,"$5,509.30"
short sleeve swiftly tech,N,product_topsLength_s(short)/parentCategory_displayName(short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(short)/collections(swiftly_tech),EnglishMinimalStemFilter(short),1540,"$11,175.55"
mini bags,N,product_topsLength_s(mini)/sku_colorCodeDesc(mini)/parentCategory_displayName(bags)/product_customAttribute4(bags),,1299,"$6,293.70"
drysense short sleeve shirt,Y,collections(drysense)/product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),1340,"$18,963.40"
speed short,Y,collections(speed)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),1385,"$11,724.30"
poolside align tank,N,sku_colorCodeDesc(poolside)/collections(align)/parentCategory_displayName(tank),,1444,"$1,885.90"
we made too much shorts,N,parentCategory_displayName(made_much_shorts_too_we)/product_customAttribute4(shorts),,981,"$2,270.20"
men shirt,Y,gender(men)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),1474,"$17,110.20"
the mat,N,product_activity(the)/collections(the)/product_customAttribute4(mat)/parentCategory_displayName(mat),EnglishMinimalStemFilter(mat),1690,"$30,932.90"
lululemon align bra,N,collections(align_lululemon)/parentCategory_displayName(bra_lululemon)/sku_colorCodeDesc(lululemon)/product_customAttribute4(bra),EnglishMinimalStemFilter(bra),1231,"$7,951.10"
poolside blue leggings,N,sku_colorCodeDesc(blue_poolside)/sku_colorGroup(blue)/parentCategory_displayName(leggings),,980,"$1,990.10"
pocket leggings,N,product_customAttribute4(pocket)/sku_colorCodeDesc(pocket)/parentCategory_displayName(leggings),,1266,"$17,237.90"
abc classic pants,N,collections(abc)/sku_colorCodeDesc(classic)/product_customAttribute4(pants)/parentCategory_displayName(pants),,1143,"$23,174.05"
sweat shirt,N,product_customAttribute4(shirt_sweat)/collections(sweat)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),1787,"$15,871.60"
lulu align,N,sku_colorCodeDesc(lulu)/collections(align),,1951,"$32,095.55"
cropped leggings,N,product_topsLength_s(cropped)/parentCategory_displayName(leggings),,1072,"$13,277.10"
surge warm,N,collections(surge)/sku_colorCodeDesc(warm),,1585,"$21,687.50"
cropped crew,N,product_topsLength_s(cropped)/product_customAttribute4(crew),,1636,"$17,299.40"
scuba full,N,collections(scuba)/sku_size(full),,2192,"$45,581.98"
luxtreme leggings,N,sku_colorCodeDesc(luxtreme)/parentCategory_displayName(leggings),,882,"$5,964.10"
align high,N,collections(align)/product_customAttribute4(high),,2415,"$74,368.45"
pace breaker 5,Y,collections(5_breaker_pace)/sku_colorCodeDesc(pace)/product_customAttribute4(5)/sku_size(5)/product_inseam(5),PatternReplaceFilter(5),1464,"$14,779.90"
lululemon fundamental t-shirt,N,collections(fundamental_lululemon)/parentCategory_displayName(lululemon_t-shirt)/sku_colorCodeDesc(lululemon),EnglishMinimalStemFilter(t-shirt),1380,"$21,041.75"
cropped swiftly tech,N,product_topsLength_s(cropped)/collections(swiftly_tech),,1657,"$9,733.05"
swiftly tech short sleeve shirt,N,collections(swiftly_tech)/product_topsLength_s(short)/parentCategory_displayName(shirt_short_sleeve)/sku_colorCodeDesc(short)/product_customAttribute4(shirt_short),EnglishMinimalStemFilter(shirt_short),1535,"$30,933.95"
crop pant,N,product_topsLength_s(crop)/product_customAttribute4(pant)/parentCategory_displayName(pant),PorterStemFilter(crop)/EnglishMinimalStemFilter(pant),979,"$8,640.75"
commission short classic,N,collections(commission)/sku_colorCodeDesc(classic_commission_short)/product_topsLength_s(short)/parentCategory_displayName(short)/product_customAttribute4(short),EnglishMinimalStemFilter(short),1008,"$21,521.00"
wunder train racerback tank top,N,collections(racerback_train_wunder)/product_activity(train)/product_customAttribute4(racerback_top_train)/parentCategory_displayName(tank_top),PorterStemFilter(train)/EnglishMinimalStemFilter(top),1532,"$19,297.20"
license to train lined,N,collections(license_to_train)/product_activity(train)/product_customAttribute4(train)/sku_colorCodeDesc(lined),PorterStemFilter(train),993,"$13,139.58"
commission classic pants,N,collections(commission)/sku_colorCodeDesc(classic_commission)/product_customAttribute4(pants)/parentCategory_displayName(pants),,727,"$9,944.20"
swiftly tech 20,N,collections(swiftly_tech)/sku_size(20),,2047,"$42,312.00"
white swiftly tech,N,sku_colorGroup(white)/sku_colorCodeDesc(white)/collections(swiftly_tech),,1145,"$5,088.10"
rulu run,Y,collections(rulu_run)/sku_colorCodeDesc(rulu)/product_activity(run)/product_customAttribute4(run),PorterStemFilter(run),2111,"$43,925.80"
align leggings 28,Y,collections(align)/parentCategory_displayName(leggings)/sku_size(28)/product_inseam(28),PatternReplaceFilter(28),1431,"$28,138.45"
wind breaker,N,sku_colorCodeDesc(wind)/collections(breaker),,1004,"$9,300.80"
down jackets,N,parentCategory_displayName(down_jackets)/product_customAttribute4(jackets),,720,"$7,241.65"
fast and free crop,N,collections(fast_free)/product_customAttribute4(and)/product_topsLength_s(crop),PorterStemFilter(crop),974,"$16,469.60"
5 shorts,Y,product_customAttribute4(5_shorts)/collections(5)/sku_size(5)/product_inseam(5)/parentCategory_displayName(shorts),PatternReplaceFilter(5),961,"$9,282.25"
leggings 25,Y,parentCategory_displayName(leggings)/sku_size(25)/product_inseam(25),PatternReplaceFilter(25),756,"$9,931.55"
blue shirt,Y,sku_colorGroup(blue)/sku_colorCodeDesc(blue)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),1052,"$4,480.50"
commission long sleeve shirt,Y,collections(commission)/sku_colorCodeDesc(commission)/product_topsLength_s(long)/parentCategory_displayName(long_shirt_sleeve)/product_customAttribute4(shirt),EnglishMinimalStemFilter(shirt),1181,"$28,053.65"
sweat shirts,N,product_customAttribute4(sweat)/collections(sweat)/parentCategory_displayName(shirts),,1104,"$9,430.55"
ready to rulu cropped,N,collections(ready_rulu_to)/sku_colorCodeDesc(rulu)/product_topsLength_s(cropped),,854,"$6,480.60"
leggings 28,Y,parentCategory_displayName(leggings)/sku_size(28)/product_inseam(28),PatternReplaceFilter(28),849,"$8,173.65"
chambray leggings,N,sku_colorCodeDesc(chambray)/parentCategory_displayName(leggings),,554,"$3,254.95"
belt b,N,product_customAttribute4(belt)/sku_size(b),,1246,"$6,326.25"
cargo short,Y,product_customAttribute4(cargo_short)/product_topsLength_s(short)/parentCategory_displayName(short)/sku_colorCodeDesc(short),EnglishMinimalStemFilter(short),1016,"$8,152.15"
align pant 25,Y,collections(align)/product_customAttribute4(pant)/parentCategory_displayName(pant)/sku_size(25)/product_inseam(25),EnglishMinimalStemFilter(pant)/PatternReplaceFilter(25),1261,"$28,789.15"
sun shirt,N,sku_colorCodeDesc(sun)/product_customAttribute4(shirt)/parentCategory_displayName(shirt),EnglishMinimalStemFilter(shirt),778,"$3,777.00"
